SIAF_name,Aper_name
NRCA1_FULL,NIRCam_long_wl
NRCA2_FULL,NIRCam_long_wl
NRCA3_FULL,NIRCam_long_wl
NRCA4_FULL,NIRCam_long_wl
NRCA5_FULL,NIRCam_short_wl
NRCB1_FULL,NIRCam_long_wl
NRCB2_FULL,NIRCam_long_wl
NRCB3_FULL,NIRCam_long_wl
NRCB4_FULL,NIRCam_long_wl
NRCB5_FULL,NIRCam_short_wl
NRCA2_MASK210R,NIRCam_coron
NRCA5_MASK335R,NIRCam_coron
NRCA5_MASK430R,NIRCam_coron
NRCA4_MASKSWB,NIRCam_coron
NRCA5_MASKLWB,NIRCam_coron
NIS_CEN,NIRISS_WFSS
NIS_AMI1,NIRISS_AMI
NRS_FULL_IFU_IFU,NIRSpec_IFU
NRS_S200A1_SLIT,NIRSpec_fixed_slits
NRS_S400A1_SLIT,NIRSpec_fixed_slits
NRS_S200A2_SLIT,NIRSpec_fixed_slits
NRS_S1600A1_SLIT,NIRSpec_fixed_slits
NRS_S200B1_SLIT,NIRSpec_fixed_slits
NRS_FULL_MSA1,NIRSpec_MSA
NRS_FULL_MSA2,NIRSpec_MSA
NRS_FULL_MSA3,NIRSpec_MSA
NRS_FULL_MSA4,NIRSpec_MSA
MIRIM_ILLUM,MIRI_imag
MIRIM_MASK1065,MIRI_4QPM
MIRIM_MASK1140,MIRI_4QPM
MIRIM_MASK1550,MIRI_4QPM
MIRIM_MASKLYOT,MIRI_Lyot
MIRIM_SLIT,MIRI_slit
MIRIFU_FULL_SHCH1CNTR_CH4,MIRI_IFU
