id,code,bic,name
l10n_es_partner.res_bank_es_1550,1550,ETICES21XXX,Banca Popolare Etica
l10n_es_partner.res_bank_es_1300,1300,ABNANL2AXXX,Abn Amro Bank
somconnexio.res_bank_es_2417,2417,"",NOVACAIXAGALICI
somconnexio.res_bank_es_0030,0030,ESPCESMMXXX,BANESTO
somconnexio.res_bank_es_0071,0071,POPUESMMXXX,POPULAR ESPAÑOL
somconnexio.res_bank_es_0093,0093,VALEESVVXXX,BANCO VALENCIA
somconnexio.res_bank_es_0161,0161,BKTRESM1XXX,DB-TRUST COMPAN
somconnexio.res_bank_es_0065,0065,BARCESMMXXX,BARCLAYS BANK
somconnexio.res_bank_es_0086,0086,NORTESMMXXX,BANIF
somconnexio.res_bank_es_1563,1563,NTSBDEB1XXX,N26 BANK GMBH
somconnexio.res_bank_es_2013,2013,CESCESBBXXX,"CATALUNYA BANC,"
somconnexio.res_bank_es_2096,2096,CSPAES2LXXX,Caja España
somconnexio.res_bank_es_2104,2104,CSSOES2SXXX,CAJA DE AHORROS DE SALAMANCA Y SORIA
somconnexio.res_bank_es_2401,2401,"",LA CAIXA
somconnexio.res_bank_es_2410,2410,"",CAJA NAVARRA
somconnexio.res_bank_es_2414,2414,CECAESMM048,CAJASTUR
somconnexio.res_bank_es_3063,3063,BCOEESMM063,C.R. DE CORDOBA
somconnexio.res_bank_es_6713,6713,GBECBM31438,Prepaid Financial Services Limited SE.
somconnexio.res_bank_es_9000,9000,ESPBESMMXXX,BANCO DE ESPAÑA+
